star_id,orbital_period,transit_duration,transit_depth,planet_radius,star_radius,star_temp,star_logg,label
TIC 175239726,1.092917,,135.5446,,1.78223,7226.47,4.14565,0
TIC 82330323,0.907765,,,77.0,1.21,,,1
TIC 386908047,17.04066667,,1.938,,,6117.37,,1
TIC 386908047,17.035203,,2.208,53.0,1.51,,,1
TIC 203281736,63.84825,,,2.86,0.731598,3973.09,4.50191,1
TIC 203281736,63.8432,,0.193,2.78,0.594,,,1
TIC 14602163,8.986648,,,143.0368808,4.260594,5265.0,3.2,1
TIC 14602163,8.986,,4.8646,,11.8634,5523.32,,1
TIC 184898467,0.279258,,,8.41,0.62,4071.0,4.838,1
TIC 82325163,32.5795,,2.421,10.44,0.633,,,1
TIC 82325163,32.576,,3.8336,,0.694468,4217.0,4.57431,1
TIC 386890582,1.744546,,20.6372,,2.316,6530.0,3.921,1
TIC 175239295,11.6158,,8.83,,0.339085,3189.0,4.88475,0
TIC 195193560,74.8,,,4.34,0.7,5044.0,4.64,1
TIC 14676965,6.83292,,0.389,1.3,0.18,,,1
TIC 178247259,0.77845,,0.39,,0.779314,3859.0,4.42916,0
TIC 178247259,0.778,,0.5428,,0.779314,3859.0,4.42916,0
TIC 203287337,0.923861,,34.5965,,1.90631,6235.06,3.96046,0
TIC 203238481,2.851451,,99.2969,,2.22321,7137.0,3.9455,0
TIC 197216846,3.244126,,40.5896,,0.987047,4274.11,4.27547,0
TIC 14705462,0.821436,,16.2008,,1.5043,6046.46,4.13261,0
TIC 238609359,3.888853,,2.5872,,0.696024,3693.0,4.5728,0
TIC 178247340,3.696871,,12.4336,,1.47855,6401.57,4.2073,0
TIC 178245471,3.697161,,3.5827,,0.245,3120.0,4.991,1
TIC 243246425,1.769505,,17.6962,,1.16794,5988.0,4.34462,0
TIC 243246389,23.702342,,4.8619,,1.869,6280.0,4.021,1
TIC 178268711,2.714743,,,1.198,0.415,3634.0,4.802,1
TIC 203214138,5.169887,,0.3348,9.1,1.45,6830.0,4.256,1
TIC 203214138,5.1699026,,0.311,9.23587,1.48,6283.4,4.18,1
TIC 178268725,3.40819,,16.4327,,0.849526,5416.13,4.55423,0
TIC 178247416,2.22982,,24.7831,,2.26072,7391.0,3.95746,0
TIC 203287192,4.4455436,,0.5839,15.8181,2.11,6355.8,3.89,1
TIC 203287192,4.445559,,0.4228,15.9,2.237,6520.0,3.932,1
TIC 195183319,23.917716,,3.2061,,0.828,5050.0,4.507,1
TIC 203214117,2.783705,,0.0538,2.4,0.939,5890.0,4.487,1
TIC 386908279,1.830767,,15.7032,,0.98712,6141.42,4.51379,0
TIC 195187524,9.375266,,,3.545,0.747,4571.0,4.597,1
TIC 238609221,0.617674,,59.8171,,1.10095,5271.68,4.30878,0
TIC 178270522,0.986765,,30.5455,,1.4,6080.0,4.201,1
TIC 203220660,0.579309,,47.1689,,0.999114,4888.0,4.34193,0
TIC 197221886,1.204338,,40.6463,,0.907171,5633.43,4.52269,0
TIC 85978461,0.604228,,19.626,,,,,0
TIC 175235241,0.82182448,,0.047,,2.64987,5990.46,3.63301,1
TIC 175235241,0.822,,0.0437,,2.64987,5990.46,3.63301,1
TIC 175235241,0.8218241,,0.0615,6.1,2.66,,,1
TIC 178245246,0.816734,,0.5075,,1.79519,6318.08,4.02502,0
TIC 203287069,14.220246,,10.1983,,1.461,6130.0,4.185,1
TIC 197218432,0.547674,,0.1629,,0.786265,4926.69,4.55541,0
TIC 197220483,1.743013,,47.0271,,2.95299,7935.6,3.7763,0
TIC 195183092,0.55082,,31.9979,,,,,0
TIC 203282135,1.153456,,12.8377,,2.96865,5378.01,,0
TIC 197217186,3.797473,,11.8402,,0.785698,5024.68,4.57184,0
TIC 238607981,0.518748,,15.7737,,1.31192,6490.0,4.32611,0
TIC 238607982,0.518754,,0.0228,,0.878754,5514.41,4.53621,0
TIC 203280050,0.98972,,16.8919,,1.13922,5424.29,4.29798,0
TIC 178219778,4.845561,,7.7469,,1.15426,5723.1,4.32206,0
TIC 386906530,0.643142,,45.0377,,1.05452,5412.54,4.36509,0
TIC 14675072,1.466473,,33.5755,,0.981,4570.0,4.413,1
TIC 178266267,7.112,,0.0585,,0.909317,5595.68,4.51583,1
TIC 178266267,7.1123703,,0.0497,1.85858,0.91,5595.7,4.52,1
TIC 178266267,7.112134,,0.0553,2.7,1.042,5800.0,4.409,1
TIC 178266267,7.112273,,,3.2,0.96,,,1
TIC 178266267,7.11047482,,0.07,,0.909317,5595.68,4.51583,1
TIC 386908564,1.991357,,9.6349,,1.26082,6118.76,4.29746,0
TIC 197217322,16.7004351,,3.552,,1.09979,5018.76,4.27453,0
TIC 197217322,16.709659,,11.283,,1.09979,5018.76,4.27453,0
TIC 203252180,20.016917,,0.552,,0.97,5790.0,4.451,1
TIC 195182846,1.488249,,4.8367,,0.982781,4080.0,4.25797,0
TIC 197218183,0.610205,,13.633,,1.18417,5470.83,,0
TIC 178270116,1.07639,,9.1275,,1.6002,6523.0,4.15682,0
TIC 332023536,5.17518,,0.0317,1.53,0.826,,,1
TIC 14603150,9.73605539,,0.122,,0.946449,5508.0,4.47265,1
TIC 195191027,2.22645,,0.0997,2.6,0.782,,,1
TIC 195191027,2.226,,0.0676,,0.778333,5013.0,4.57482,1
TIC 14570132,3.209,,0.2016,,0.910204,5060.51,,1
TIC 14570132,3.209185,,,40.1,0.89,,,1
TIC 14570132,3.209149,,,5.27465763,0.839324,5182.0,4.55,1
TIC 14570132,3.2092033,,0.2038,6.33877,0.91,5060.5,,1
TIC 178248086,2.91825,,0.0402,1.65,0.776,,,1
TIC 178248086,2.918,,0.0246,,0.763904,4996.93,4.59002,1
TIC 178269359,0.898,,0.1878,,,,,1
TIC 178269359,0.898216,,,4.02,0.82,5528.0,4.482,1
TIC 178269359,0.898344,,0.2531,9.8,0.9,,,1
TIC 178269359,0.898312,,,32.0,0.79,,,1
TIC 178269359,0.89803906,,0.163,,,,,1
TIC 801264959,6.676,,3.9424,,,4036.0,,1
TIC 243245547,1.023613,,1.101,,2.97485,6658.58,3.63727,0
TIC 197217588,0.545702,,0.0532,,4.752,5330.0,3.514,1
TIC 178220228,4.70751,,0.0209,1.52,0.998,,,1
TIC 197246150,5.173531,,5.858,,1.14689,5188.24,4.2635,0
TIC 197217878,5.489456,,37.0025,,3.27338,5151.0,,0
TIC 203226490,0.699705,,24.4959,,2.09781,6804.44,3.95889,0
TIC 203279400,0.555317,,41.6594,,1.07851,5295.0,4.33146,0
TIC 353930243,0.569192,,27.6502,,1.51974,6510.0,4.20163,0
TIC 184894254,0.751394,,62.8169,,1.27317,5480.0,4.21057,0
TIC 126314157,1.17715,,29.4749,,2.529,6390.0,3.846,1
TIC 117162442,9.148701,,11.97,,1.8215,6072.0,3.97029,0
TIC 117278832,1.190316,,1.4098,,0.335,3420.0,4.916,1
TIC 117248231,2.724469,,66.5629,,1.60222,6707.0,4.18091,0
TIC 355125919,12.886147,,6.2814,,0.805017,5033.0,4.55074,0
TIC 117353968,0.723102,,5.8108,,1.19162,5897.77,4.31518,0
TIC 117357458,6.924808,,0.9578,8.5,0.795,5300.0,4.55,1
TIC 126277741,0.526018,,23.6909,,0.671247,3614.0,4.59239,0
TIC 117278634,1.190354,,36.3154,,2.407,6350.0,3.88,1
TIC 117357382,0.793048,,20.04,,1.76335,5459.0,3.92312,0
TIC 117254292,0.594392,,40.6214,,,5552.0,,0
TIC 117274972,1.160308,,20.5206,,0.883616,4331.0,4.37613,0
TIC 117380199,5.190254,,69.6741,,0.645,3120.0,3.97,1
TIC 117414451,11.480611,,,23.562,5.415,4692.0,3.138,1
TIC 117247752,0.59812,,10.8294,,0.935307,4142.0,4.30907,0
TIC 117354651,1.095841,,0.3489,,1.906,5920.0,3.996,1
TIC 437331306,1.717,,0.0086,,1.69089,6049.0,4.03491,1
TIC 437331306,0.7165461,,0.2089,25.5,1.754,,,1
TIC 287028219,12.426,,0.0431,,1.34653,5926.0,4.21306,1
TIC 203378677,16.715029,,,3.402,0.854,5406.0,4.49,1
TIC 392467438,2.76294135,,0.052,,0.787867,5794.0,4.66219,1
TIC 287331845,2.289363,,,1.48,0.8,5171.0,4.55,1
TIC 287331845,2.28943,,,1.323,,,,1
TIC 287331845,2.28896,,0.0535,1.83,0.749,,,1
TIC 287331845,5.21378,,0.0828,2.29,0.749,,,1
TIC 287331845,5.213965,,,2.27,0.8,5171.0,4.55,1
TIC 287331845,5.213,,0.0709,,0.776343,5008.0,4.57756,1
TIC 335040757,1.225,,0.0224,,0.836336,5222.0,4.5427,1
TIC 422290347,0.595621,,,0.58303133,0.863058,5338.0,4.51,1
TIC 405676235,1.605718,,0.5483,16.0,1.9,,,1
TIC 346038323,6.669,,0.0213,,0.871771,5048.0,4.48154,1
TIC 335696950,17.788652,,,47.8,0.76,,,1
TIC 422327208,12.9348816,,1.516,,,,,1
TIC 422327208,12.93562,,1.573,33.6,1.511,,,1
TIC 422327208,51.735,,0.591,15.3,1.511,,,1
TIC 405680435,34.144,,0.2836,,1.68987,5690.0,3.98668,1
TIC 405680435,34.1365,,0.3371,10.54,1.791,,,1
TIC 346038506,3.56467,,0.075,1.62,0.564,,,1
TIC 290055205,21.0791,,0.0353,2.71,1.362,,,1
TIC 386767605,4.17458,,0.1339,1.08,0.28,,,1
TIC 386767605,4.174,,0.1013,,0.539055,3620.0,4.7034,1
TIC 290058804,15.9489,,0.0331,2.48,1.29,,,1
TIC 335103607,2.548,,0.2483,,0.515866,3545.0,4.72355,1
TIC 335103607,2.55068936,,0.828,,0.515866,3545.0,4.72355,1
TIC 335103599,2.549,,0.1961,,,,,1
TIC 335103599,2.55234671,,0.63,,,,,1
TIC 392466752,2.500285,,,64.215,2.481,6051.0,3.934,1
TIC 357512769,0.6962935,,0.1033,3.85,1.107,,,1
TIC 335010092,22.446,,0.1546,,0.693527,4118.0,4.5655,1
TIC 357446982,26.147,,0.0568,,0.811187,5442.0,4.59709,1
TIC 357446982,26.143,,0.0848,2.52,0.8091,,,1
TIC 189677517,14.452,,0.0331,,1.11514,6318.0,4.43683,1
TIC 189677517,36.152,,0.0331,,1.11514,6318.0,4.43683,1
TIC 297149214,6.16596,,,,1.3,5882.0,,1
TIC 422349843,46.4221,,0.0793,2.66,0.893,,,1
TIC 422349843,46.423,,0.0681,,0.851697,5642.0,4.5775,1
TIC 357494741,1.852487,,0.1299,36.8,2.479,,,1
TIC 335009833,3.746332,,,1.638,0.726,4395.0,4.615,1
TIC 335103137,28.24765,,0.9811,38.5,3.57,,,1
TIC 357514459,25.3606,,0.1341,3.11,0.815,,,1
TIC 357447277,15.7086,,0.1002,1.96,0.595,,,1
TIC 357447277,9.886,,0.0652,1.59,0.595,,,1
TIC 297146115,18.0983,,,2.17,,,,1
TIC 297146115,18.0971,,0.0298,2.21,1.2247,,,1
TIC 297146115,12.0156,,0.0489,2.81,1.2247,,,1
TIC 297146115,12.012,,0.0315,,1.21834,5915.0,4.29996,1
TIC 405675224,0.946,,0.0301,,0.801858,5336.0,4.59366,1
TIC 405675224,0.946033,,0.0425,1.81,0.827,,,1
TIC 405675224,0.94599529,,0.028,,0.801858,5336.0,4.59366,1
TIC 422349623,2.667929,,,50.7,0.94,,,1
TIC 405675181,1.063,,0.0231,,,,,1
TIC 405675181,0.531704,,,2.0,1.06,,,1
TIC 405675181,0.531684,,0.0236,2.13,1.29,,,1
TIC 357494933,24.006249,,,23.826,1.506,6150.0,4.165,1
TIC 404422809,1.11562824,,0.017,,1.09339,5806.0,4.37755,1
TIC 404422809,1.115563,,0.01969,1.29,0.98,,,1
TIC 404422809,1.115,,0.0151,,1.09339,5806.0,4.37755,1
TIC 404422809,1.115485,,,1.6,1.1,,,1
TIC 335699506,24.462656,,,13.6,0.68,,,1
TIC 335699506,24.482,,0.804,28.2,2.763,,,1
TIC 392466042,0.779,,0.0369,,,,,1
TIC 392466042,0.77923,,,0.87,,,,1
TIC 385433521,12.666,,0.1876,,0.948236,5690.0,4.48856,1
TIC 294268997,0.876,,0.0146,,1.49707,5849.0,4.11289,1
TIC 347754632,3.26945,,1.55,3.9,0.276,,,1
TIC 347754632,3.269,,1.2473,,0.263126,3201.0,4.96918,1
TIC 335639322,4.07337,,0.0125,0.928,0.794,,,1
TIC 347808666,21.6768,,0.0726,2.87,1.003,,,1
TIC 347808666,21.677,,0.0605,,0.968677,5751.0,4.47855,1
TIC 308180325,6.80213,,0.208,1.82,0.379,,,1
TIC 287346191,6.883,,0.4417,,1.76623,4900.0,,1
TIC 287346191,6.88385,,1.207,8.3,0.743,,,1
TIC 297146957,34.885,,,1.6,,,,1
TIC 297146957,15.381,,0.0542,,0.752111,5079.0,4.61492,1
TIC 297146957,15.3866,,0.0796,2.41,0.758,,,1
TIC 405674574,11.52898,,0.494,3.93,0.533,,,1
TIC 290039692,3.44791,,0.048,1.46,0.637,,,1
TIC 422348973,14.4307,,0.0487,2.28,0.986,,,1
TIC 404422257,8.121,,0.0406,,1.04659,5672.0,4.40284,1
TIC 404422257,8.12088,,0.0534,2.69,1.101,,,1
TIC 392509341,13.485,,0.0337,1.67,0.879,,,1
TIC 392509341,13.484958,,,1.56669509,0.843263,5378.0,4.47,1
TIC 392509341,13.479,,0.0222,,0.915477,5196.0,,1
TIC 345985861,17.732736,,,23.212,1.684,5650.0,4.03,1
TIC 678806,1.096473,,2.977,78.0,1.913,,,1
TIC 187273811,4.162764,,,1.5,0.83,,,1
TIC 678699,13.7043,,0.0158,1.3,1.014,,,1
TIC 179022719,13.52583,,0.0704,2.49,0.927,,,1
TIC 179022719,13.524,,0.0533,,0.913819,5531.0,4.50446,1
TIC 179022719,13.52475,,,2.27671392,0.888236,5570.0,4.59,1
TIC 178973368,14.311,,0.0689,,0.614558,4076.0,4.66576,1
TIC 179019702,21.379793,,,2.088,0.698,4722.0,4.665,1
TIC 270486211,8.853025,,,14.4,0.87,,,1
TIC 270486211,8.85007649,,2.597,,1.12685,5639.0,4.33434,1
TIC 270486211,8.853,,2.4303,,1.12685,5639.0,4.33434,1
TIC 678621,2.58166013,,0.499,,0.86975,4998.0,4.47836,1
TIC 678621,2.581467,,,5.7,0.78,,,1
TIC 678621,2.581,,0.3992,,0.86975,4998.0,4.47836,1
TIC 678620,2.581,,3.029,,0.757718,4076.0,4.48523,0
TIC 678620,2.58148,,,5.38,0.757718,4076.0,4.48523,0
TIC 2619799,14.069,,0.0302,,,,,1
TIC 2619799,14.07277587,,0.04,,,,,1
TIC 2619799,14.069121,,,1.8,0.84,,,1
TIC 2619799,14.06928,,0.0402,1.83,0.876,,,1
TIC 2619799,14.069759,,,1.86705079,0.890011,5343.0,4.51,1
TIC 134978629,18.155653,,,55.0,0.83,,,1
TIC 134968281,6.373,,1.7919,,0.991065,6518.0,4.57297,1
TIC 707724,3.021944,,0.1186,10.8,1.082,,,1
TIC 707724,3.021795,,,45.9,1.09,,,1
TIC 707724,3.02164122,,0.149,,1.05594,5975.0,4.43218,1
TIC 270486112,7.783286,,,155.7,3.83,,,1
TIC 270486112,7.785,,0.0541,,3.88144,4726.0,,1
TIC 270486112,7.78608,,0.0622,10.9,3.34,,,1
TIC 270486112,7.785227,,,7.72094189,1.817689,5084.0,3.95,1
TIC 771548,15.2841,,,1.12,,,,1
TIC 771548,15.2841,,0.0187,1.39,0.9757,,,1
TIC 771548,15.28078,,,1.26,0.98,6004.0,4.45,1
TIC 771548,23.226001,,,2.24459533,0.952744,5928.0,4.49,1
TIC 771548,23.2259,,0.0506,2.31,0.9757,,,1
TIC 771548,23.24110566,,0.069,,0.94987,6055.0,4.53582,1
TIC 771548,23.228555,,,2.32,0.98,6004.0,4.45,1
TIC 771548,23.226,,0.0469,,0.94987,6055.0,4.53582,1
TIC 771548,23.226,,,2.3,0.95,,,1
TIC 2535051,,,1.101,15.2,0.797,,,1
TIC 774688,4.54462,,0.929,6.6,0.487,,,1
TIC 774688,4.545,,0.6354,,0.248786,3258.0,4.98795,1
TIC 196681132,0.72436144,,3.564,,0.650416,3276.0,4.60926,1
TIC 668643,12.346663,,,2.345,1.011,5685.0,4.371,1
TIC 134981907,31.4782,,0.1052,2.6,0.7556,,,1
TIC 2705974,6.02226,,0.0384,2.02,0.9738,,,1
TIC 2764004,0.578657,,,1.2,0.93,5765.0,4.4,1
TIC 2764004,11.811437,,,2.3,0.93,5765.0,4.4,1
TIC 2764004,11.81387,,0.0722,2.67,0.948,,,1
TIC 178949778,4.352428,,,16.6,0.67,,,0
TIC 178949778,4.35244,,,14.07,0.764238,4459.0,4.51671,0
TIC 179033276,2.851702,,0.488,2.16,0.303,,,1
TIC 179033276,2.85177,,,3.34,0.387653,3288.0,4.83807,1
TIC 196684473,11.090822,,,1.818,0.989,5763.0,4.259,1
TIC 178925813,13.83851,,0.0882,8.26,2.65,,,1
TIC 178925813,13.843,,0.0781,,2.5315,5500.0,3.61358,1
TIC 178925813,13.843725,,,6.76064604,1.641721,5465.0,3.98,1
TIC 178925813,13.843678,,,21.4,0.81,,,1
TIC 2712931,0.32814902,,0.235,,1.10379,5793.0,4.36933,1
TIC 2712931,0.984,,0.1628,,1.10379,5793.0,4.36933,1
TIC 2712931,0.32815384,,0.2247,17.1,1.168,,,1
TIC 2712931,0.328152,,,14.79153996,0.990035,5759.0,4.46,1
TIC 19924852,8.253,,0.0845,,2.02234,5419.0,3.79948,1
TIC 19924852,8.25178,,0.0954,6.99,2.161,,,1
TIC 178924738,20.5827,,0.0664,2.98,1.099,,,1
TIC 743782,19.1324,,0.0366,2.73,1.347,,,1
TIC 2626856,2.45840745,,0.063,,0.926086,5528.0,4.49154,1
TIC 2626856,2.458783,,0.0943,3.11,0.964,,,1
TIC 2626856,2.459,,0.0739,,0.926086,5528.0,4.49154,1
TIC 179017896,1.05459,,,1.29,0.533176,3445.0,4.7085,1
TIC 179017896,1.054612,,,1.0,0.36,,,1
TIC 179017896,1.055,,0.0458,,0.533176,3445.0,4.7085,1
TIC 179017896,1.054604,,0.0658,0.824,0.3,,,1
TIC 196679909,1.83473,,,29.93,0.826606,4385.0,4.44232,0
TIC 2539506,,,0.9679,24.0,0.951,,,1
TIC 270498540,5.734172,,,6.2,2.747,5192.0,3.618,1
TIC 616321,62.841,,5.3463,,1.13363,4971.0,4.24294,1
TIC 619430,25.8614,,0.265,1.58,0.295,,,1
TIC 619430,25.86125,,,2.2,0.432453,3653.0,4.7972,1
TIC 178948493,6.430383,,,4.309,1.054,5735.0,4.314,1
TIC 178999850,6.78882,,0.02348,2.8,1.76,,,1
TIC 178999850,6.788344,,,1.6,1.11,,,1
TIC 178999850,6.789076,,,1.60793495,0.978493,5758.0,4.46,1
TIC 178999850,6.788,,0.0204,,1.09551,5841.15,,1
TIC 178999850,18.5159,,0.03067,3.3,1.76,,,1
TIC 178999850,18.517319,,,1.86157195,0.978493,5758.0,4.46,1
TIC 178999850,18.516,,0.03,,1.09551,5841.15,,1
TIC 196681768,2.268,,0.4633,,2.15197,5789.0,3.78943,1
TIC 196681768,2.2688499,,0.779,,2.15197,5789.0,3.78943,1
TIC 2623869,7.264,,0.3232,,,,,1
TIC 178957243,3.4914,,0.0376,1.18,0.572,,,1
TIC 179023674,7.685505,,,2.084,0.703,5176.0,4.587,1
TIC 670036,13.603,,0.1212,,0.669035,4581.0,4.64691,1
TIC 670036,13.60697954,,0.146,,0.669035,4581.0,4.64691,1
TIC 670036,13.603,,0.11,2.586,0.673,4684.0,4.622,1
TIC 670036,65.55,,0.11,2.69,0.673,4684.0,4.622,1
TIC 134983213,14.78545,,0.1633,2.62,0.623,,,1
TIC 178919840,34.383193,,,2.856,0.972,5666.0,4.343,1
TIC 713672,19.984217,,,2.846,1.753,6823.0,4.004,1
TIC 2558796,1.017968,,,36.1,0.75,,,1
TIC 2558796,1.018,,0.9794,,0.805916,5022.0,4.54457,1
TIC 2558796,1.017977,,1.396,18.1,0.638,,,1
TIC 178920155,8.491003,,,2.228,0.841,5432.0,4.51,1
TIC 617029,8.95366,,0.142,3.32,0.841,,,1
TIC 617029,8.953,,0.1178,,0.864025,4966.0,4.4783,1
TIC 196670888,37.361973,,,2.74426869,1.116937,5675.0,4.25,1
TIC 187313966,4.681743,,,5.4,0.25,,,0
TIC 187313966,4.68189,,,29.41,0.40606,3368.0,4.8211,0
TIC 187313967,4.68199,,,48.33,0.895684,4636.0,4.40064,0
TIC 2707076,24.748442,,,16.683,0.637,5803.0,4.637,1
TIC 61097426,3.216,,0.0308,,0.622576,3954.0,4.63225,1
TIC 305803411,29.978884,,,15.3,0.94,,,1
TIC 203206013,6.725,,0.2425,,0.80913,4891.0,4.52512,1
TIC 203206013,6.72511,,0.28,4.37,0.787,,,1
TIC 295680406,12.24568,,,2.047,0.796,5329.0,4.573,1
TIC 130712824,13.8883,,0.0558,1.46,0.592,,,1
TIC 119131216,26.939433,,,2.869,1.02,5716.0,4.312,1
TIC 61072862,27.7985,,0.0255,2.47,1.484,,,1
TIC 115016484,20.641492,,,49.5,1.05,,,1
TIC 115073563,12.634794,,,47.553,10.265,4999.0,2.32,1
TIC 270484318,7.535783,,,3.131,0.659,3990.0,4.718,1
TIC 130725309,6.116238,,,4.886,1.544,6283.0,4.154,1
TIC 130691696,9.668373,,,2.628,0.817,5368.0,4.527,1
TIC 425575714,0.546127,,0.03923,11.3,1.447,,,1
TIC 168152235,2.49686,,0.0692,90.0,11.0,,,1
TIC 2527981,5.84643,,1.521,10.4,0.698,,,1
TIC 2670610,9.76897,,,,1.2,5388.0,,1
TIC 2670610,9.770186,,,3.19260619,0.994327,5631.0,4.29,1
TIC 2670610,9.769155,,,3.3,1.1,,,1
TIC 2670610,9.7706,,0.0988,3.8,1.195,,,1
TIC 168148778,0.515513,,,3.4,0.75,,,1
TIC 168299520,6.7826,,0.0633,1.88,0.705,,,1
TIC 325358229,3.12951,,0.0898,18.6,1.99,,,1
TIC 90785991,13.61358,,,3.39689521,0.780921,4863.0,4.38,1
TIC 90785991,13.61242,,0.1453,3.03,0.793,,,1
TIC 168545735,12.364531,,,36.3,0.76,,,1
TIC 90784652,6.79867,,0.0436,4.4,1.601,,,1
TIC 1927591281,1.489154,,0.00562,1.9,2.4,,,1
TIC 1927591279,1.489184,,,1.0,0.87,,,1
TIC 466045629,1.117027,,,16.9,0.27,,,0
TIC 466045629,1.11704,,,33.94,0.497973,3506.0,4.73918,0
TIC 90090343,14.1297,,0.0383,1.4,0.69,,,1
TIC 379912221,4.63789,,0.0362,2.04,1.021,,,1
TIC 379912221,4.637911,,,1.87105305,0.985113,5608.0,4.46,1
TIC 108428312,5.059033,,,1.03801946,0.623766,4455.0,4.68,1
TIC 108428312,5.059,,,1.12,0.67224,4310.0,4.60909,1
TIC 2130074,1.876899,,2.409,13.2,0.774,,,1
TIC 379956601,10.99044,,,1.16,0.500884,3584.0,4.73663,1
TIC 465926320,21.568409,,,20.5,1.21,,,1
TIC 155246423,1.236438,,0.2554,50.0,3.2,,,1
TIC 154896670,7.269622,,,32.9,0.73,,,1
TIC 154896670,7.269213,,0.922,163.0,6.93,,,1
TIC 154796579,7.457597,,0.573,8.7,1.037,,,1
TIC 154796579,7.46475831483,,1.05838259,11.93024915,1.15577,5357.0,4.27941,1
TIC 168089445,43.1029,,0.3263,12.2,1.923,,,1
TIC 154797962,0.2633809,,0.06034,370.0,37.7,,,1
TIC 2615734,15.20726,,2.411,26.2,1.59,,,1
TIC 2615734,15.207101,,,12.7,0.84,,,1
TIC 325608531,0.738067,,0.0902,260.0,25.0,,,1
TIC 96932854,4.135707,,,1.59980974,0.76364,4972.0,4.52,1
TIC 96932854,4.13556,,0.032,1.44,0.761,,,1
TIC 96932854,6.631247,,,1.35955936,0.76364,4972.0,4.52,1
TIC 96932854,6.63107,,0.036,1.52,0.761,,,1
TIC 324364668,1.726115,,0.0589,5.6,0.839,,,1
TIC 97319562,1.2539936,,1.3183,31.7,0.948,,,1
TIC 444054986,0.9085915,,0.845,23.1,0.95,,,1
TIC 96708837,6.421719,,,15.3,1.1,,,1
TIC 465915500,2.74324,,0.135,28.0,4.88,,,1
TIC 155684179,0.533393,,0.02063,19.5,14.8,,,1
TIC 90684200,23.510811,,,18.4,0.97,,,1
TIC 405831271,21.521554,,,2.40003126,1.160188,5694.0,4.22,1
TIC 90682548,5.33988,,0.039,1.27,0.611,,,1
TIC 125702445,6.689131,,1.728,29.9,1.011,,,1
TIC 3967390,,,3.847,13.66,0.738,,,1
TIC 11181323,3.6322288,,1.3613,32.2,2.67,,,1
TIC 68959822,10.14588,,2.558,19.43,1.198,,,1
TIC 123787162,11.12366,,0.0427,1.8,0.8327,,,1
TIC 123787162,11.123654,,,1.71707978,0.820733,5310.0,4.63,1
TIC 3881465,,,2.4814,57.0,1.532,,,1
TIC 119268666,1.15144,,,,1.91,5809.0,,1
TIC 119268666,1.151471,,,12.4,1.64,,,1
TIC 125060527,14.94889,,0.3574,21.9,1.69,,,1
TIC 125060527,14.948966,,,36.94985751,1.524443,6391.0,4.18,1
TIC 5604455,3.0203,,0.0375,5.6,1.265,,,1
TIC 128168004,13.12227,,0.0367,2.02,1.004,,,1
TIC 128168004,13.125244,,,1.67711859,0.976723,5742.0,4.5,1
TIC 120557280,19.68075,,0.0497,2.55,1.079,,,1
TIC 120557280,19.679411,,,2.31529508,1.002168,5679.0,4.49,1
TIC 187612272,3.38492,,0.0722,1.48,0.528,,,1
TIC 128168083,3.90723655504,,1.7049263,15.34164425,1.17027,5500.0,4.28377,1
TIC 128168083,3.90518,,1.573,16.3,1.282,,,1
TIC 10280439,28.077484,,,67.3,1.54,,,1
TIC 187838615,11.86386,,0.0605,2.21,0.848,,,1
TIC 177871423,8.6929,,0.0248,1.81,1.079,,,1
TIC 442101253,9.761854,,,3.4422482,1.770928,5529.0,3.91,1
TIC 177542025,32.3204,,0.609,3.3,0.245,,,1
TIC 119907347,2.786008,,,1.9,0.42,,,1
TIC 119907347,2.78592,,,14.87,0.470811,3528.0,4.76307,1
TIC 441899342,8.60133,,0.2804,5.31,1.016,,,1
TIC 441899342,29.8411,,0.2388,5.23,1.016,,,1
TIC 12533482,16.692356,,,17.0,0.9,,,1
TIC 336598228,4.833191,,1.8419,25.31,1.8456,,,1
TIC 11445231,1.3194719,,1.2036,14.3,1.31,,,1
TIC 11445231,1.319474,,,16.6,1.54,,,1
TIC 11952309,21.587326,,,1.78061635,1.466377,6244.0,4.11,1
TIC 225090852,3.041617,,,8.9894717,0.873673,5250.0,4.31,1
TIC 225090852,3.04108,,0.0563,11.9,1.91,,,1
TIC 442025716,0.4951253,,0.08276,28.8,1.87,,,1
TIC 187539699,1.589843,,0.1741,49.0,3.93,,,1
TIC 336681160,8.42177,,0.0837,3.13,1.0511,,,1
TIC 336681160,8.421659,,,3.45758743,1.229497,5779.0,4.13,1
TIC 187539305,9.811589,,,4.253,1.882,5953.0,4.066,1
TIC 377240984,11.5843558517,,0.2500558,5.49928933,1.09295,5631.0,4.36,1
TIC 377240984,11.587502,,,21.9,1.0,,,1
TIC 12128679,1.549318,,3.789,42.6,1.67,,,1
TIC 187506576,5.0521,,,2.1388,1.476,6262.0,4.178,1
TIC 187506576,5.049068,,,2.594,1.476,6262.0,4.178,1
TIC 179996779,1.9363475,,2.4595,46.0,1.687,,,1
TIC 377241703,1.157563,,,12.3,1.46,,,1
TIC 414772236,2.17469,,0.0251,1.8,1.083,,,1
TIC 335899543,1.658223,,0.01093,0.867,0.917,,,1
TIC 350745858,0.56007,,0.01663,1.67,0.441,,,1
TIC 130283326,4.88451,,1.647,16.1,0.73,,,1
TIC 130013676,4.35967,,0.1568,2.31,0.559,,,1
TIC 345024270,1.81053,,0.0326,1.024,0.543,,,1
TIC 201149669,20.94388,,0.4736,170.0,12.43,,,1
TIC 201149669,20.943909,,,591.1,11.57,,,1
